full_text,Label,text,predicted_label
"['minimal', 'kalau', 'gue', 'editin', 'cari', 'materinya', 'anjing', 'udah', 'tugas', 'materi', 'kagak', 'cari', 'boro', 'boro', 'cari', 'pesan', 'nya', 'read', 'aja', 'kagak', 'babi', 'lo', 'anjing', 'beban', 'benar', 'izin', 'misuh', 'iya']",NoBully, minimal kalau gue editin cari materinya anjing udah tugas materi kagak cari boro boro cari pesan nya read aja kagak babi lo anjing beban benar izin misuh iya ,Bully
"['jamur', 'ngapain', 'sih', 'becky', 'negeri', 'mending', 'tiduran', 'rumah', 'main', 'anjing', 'pergi', 'pergi']",NoBully, jamur ngapain sih becky negeri mending tiduran rumah main anjing pergi pergi ,Bully
"['pagi', 'pagi', 'udah', 'ngeliat', 'kelakuan', 'solos', 'kontol', 'anjing', 'muka', 'lo', 'gue', 'remes', 'remes', 'biar', 'kisut', 'anjing']",NoBully, pagi pagi udah ngeliat kelakuan solos kontol anjing muka lo gue remes remes biar kisut anjing ,Bully
"['st', 'of', 'al', 'boston', 'anjing', 'sebel', 'belagu', 'sangat', 'giliran', 'ulti', 'sama', 'mew', 'ciut', 'lo', 'muntah']",NoBully, st of al boston anjing sebel belagu sangat giliran ulti sama mew ciut lo muntah ,Bully
"['lo', 'mendingan', 'kawin', 'anjing', 'aja', 'dah', 'anaknya', 'mengongong', 'tidak', 'nangis']",NoBully, lo mendingan kawin anjing aja dah anaknya mengongong tidak nangis ,Bully
"['emang', 'anjing', 'sadar', 'kh', 'u']",NoBully, emang anjing sadar kh u ,Bully
"['bangsat', 'ijo', 'anjing', 'gausah', 'klakson', 'tidak', 'motor', 'belajar', 'anjing', 'tolol', 'bahayain', 'orang', 'anjing', 'rausah', 'ngebut', 'cok', 'berisik', 'knalpot', 'jamet', 'kabupaten', 'polisi', 'tidur', 'segede', 'dah', 'ya', 'alah', 'sih', 'orang', 'orang', 'bego', 'kaya', 'begini', 'dikasih', 'motor']",NoBully, bangsat ijo anjing gausah klakson tidak motor belajar anjing tolol bahayain orang anjing rausah ngebut cok berisik knalpot jamet kabupaten polisi tidur segede dah ya alah sih orang orang bego kaya begini dikasih motor ,Bully
"['mingu', 'lonte', 'anjing', 'jalang']",NoBully, mingu lonte anjing jalang ,Bully
"['keluarga', 'elu', 'anjing', 'kafir', 'monyet']",NoBully, keluarga elu anjing kafir monyet ,Bully
"['napa', 'si', 'babi', 'ovt', 'cewe']",NoBully, napa si babi ovt cewe ,Bully
"['babi', 'tidak', 'sopan', 'sopanya', 'lo']",NoBully, babi tidak sopan sopanya lo ,Bully
"['sumpah', 'anjing', 'temen', 'slowrespon', 'banget', 'babi']",NoBully, sumpah anjing temen slowrespon banget babi ,Bully
"['gondo', 'sama', 'babi', 'lt']",NoBully, gondo sama babi lt ,Bully
"['lo', 'babi', 'gahar']",NoBully, lo babi gahar ,Bully
"['babi', 'ngetap', 'doang']",NoBully, babi ngetap doang ,Bully
"['semangat', 'bang', 'dikit', 'lagi', 'lucu']",NoBully, semangat bang dikit lagi lucu ,Bully
"['bajingan', 'tolol', 'dongo', 'banget', 'emang', 'nya', 'dunia', 'rocky', 'gerung', 'doang', 'contoh', 'kau', 'pelacur', 'kampung', 'namanya', 'pelacur', 'kampung', 'mu', 'doang', 'betul', 'tidak', 'monyet']",NoBully, bajingan tolol dongo banget emang nya dunia rocky gerung doang contoh kau pelacur kampung namanya pelacur kampung mu doang betul tidak monyet ,Bully
"['pulau', 'rempang', 'berduka', 'orang', 'in', 'kemana', 'aja', 'hilang', 'telan', 'bumi', 'udah', 'kubur', 'ngepet', 'pindah', 'cari', 'sasaran', 'bisnis', 'investorx', 'coba', 'bajingan', 'tolol']",NoBully, pulau rempang berduka orang in kemana aja hilang telan bumi udah kubur ngepet pindah cari sasaran bisnis investorx coba bajingan tolol ,Bully
"['nya', 'bajingan']",Bully, nya bajingan ,NoBully
"['buzerpki', 'munafik', 'bajingan', 'tolol', 'cebong', 'penjilat', 'bangsa', 'kader', 'abubu', 'in', 'gk', 'mengalahkan', 'anis', 'karna', 'ganjar', 'korupsi', 'ktp', 'wowok', 'pendukungx', 'udah', 'kecewa', 'munafik']",NoBully, buzerpki munafik bajingan tolol cebong penjilat bangsa kader abubu in gk mengalahkan anis karna ganjar korupsi ktp wowok pendukungx udah kecewa munafik ,Bully
"['hukum', 'dunia', 'hukum', 'alam', 'kebal', 'camat', 'pelaku', 'bajingan', 'semoga', 'akhirat', 'terbalas', 'telak', 'kuat', 'tabah', 'ya', 'samsul', 'alah', 'naikin', 'derajat', 'martabat', 'keluarga', 'setingi', 'langit', 'udah', 'kacau', 'sistem', 'hukum', 'negara']",NoBully, hukum dunia hukum alam kebal camat pelaku bajingan semoga akhirat terbalas telak kuat tabah ya samsul alah naikin derajat martabat keluarga setingi langit udah kacau sistem hukum negara ,Bully
"['temen', 'gue', 'brengsek', 'bajingan']",Bully, temen gue brengsek bajingan ,NoBully
"['bukti', 'negeri', 'dikuasai', 'bajingan']",NoBully, bukti negeri dikuasai bajingan ,Bully
"['aura', 'si', 'emang', 'negatif', 'bajingan', 'munafik', 'melekat', 'pd', 'si', 'anies']",NoBully, aura si emang negatif bajingan munafik melekat pd si anies ,Bully
"['bajingan', 'tolol', 'yang', 'tidak', 'peduli', 'rkyat', 'tanah', 'd', 'rampas', 'rajanya', 'pesta', 'pora', 'kaya', 'jaman', 'kompeni', 'blanda']",NoBully, bajingan tolol yang tidak peduli rkyat tanah d rampas rajanya pesta pora kaya jaman kompeni blanda ,Bully
"['namanya', 'kadrun', 'munafik', 'culas', 'bajingan', 'karakternya', 'dgn', 'kader']",NoBully, namanya kadrun munafik culas bajingan karakternya dgn kader ,Bully
"['bajingan', 'ngabisin', 'duit', 'rakyat']",NoBully, bajingan ngabisin duit rakyat ,Bully
"['baja', 'bajingan']",NoBully, baja bajingan ,Bully
"['bajingan', 'tolol', 'penipu', 'raut', 'muka', 'bersalah', 'berdosa', 'pemain', 'kawakan']",NoBully, bajingan tolol penipu raut muka bersalah berdosa pemain kawakan ,Bully
"['wowo', 'sdh', 'thn', 'puasa', 'kekuasan', 'mertuanya', 'lengser', 'mengemis', 'menghiba', 'pd', 'si', 'bajingan', 'tolol', 'utk', 'dpt', 'jabatan', 'menteri', 'perduli', 'pendukungnya', 'kecewa', 'sikapnya', 'manusia', 'dipercaya', 'pemimpin', 'lebih', 'bahaya', 'mak', 'banteng', 'menghabiskan', 'aset', 'nkri']",NoBully, wowo sdh thn puasa kekuasan mertuanya lengser mengemis menghiba pd si bajingan tolol utk dpt jabatan menteri perduli pendukungnya kecewa sikapnya manusia dipercaya pemimpin lebih bahaya mak banteng menghabiskan aset nkri ,Bully
"['jongos', 'bajingan', 'tolol', 'ngamuk', 'kumat', 'epilepsi']",NoBully, jongos bajingan tolol ngamuk kumat epilepsi ,Bully
"['sdh', 'penjilat', 'penghianat', 'bangsa', 'bangakan', 'aseng', 'rendahkan', 'anak', 'bangsa', 'dasar', 'bajingan', 'tolol']",NoBully, sdh penjilat penghianat bangsa bangakan aseng rendahkan anak bangsa dasar bajingan tolol ,Bully
"['nya', 'gk', 'seh', 'mas']",NoBully, nya gk seh mas ,Bully
"['luhut', 'biang', 'perampasan', 'luhut', 'biang', 'penjegalan', 'luhut', 'bajingan', 'preman']",NoBully, luhut biang perampasan luhut biang penjegalan luhut bajingan preman ,Bully
"['bajingan', 'tolol', 'orang', 'iri', 'mo', 'dukung', 'anies', 'malu', 'karna', 'ni', 'orang', 'dosa', 'maling', 'uang', 'rakyat']",NoBully, bajingan tolol orang iri mo dukung anies malu karna ni orang dosa maling uang rakyat ,Bully
"['bajingan', 'tolol', 'dongo', 'banget', 'mama', 'kau', 'pelacur', 'pingir', 'jalan', 'ya', 'nya', 'sara', 'e', 'bajingan', 'tolol', 'menghina', 'agama', 'mulu', 'ciri', 'komunis', 'pki', 'yang', 'sara', 'tuduh', 'orang', 'sara']",NoBully, bajingan tolol dongo banget mama kau pelacur pingir jalan ya nya sara e bajingan tolol menghina agama mulu ciri komunis pki yang sara tuduh orang sara ,Bully
"['ora', 'iso', 'turu', 'asu', 'bajingan']",NoBully, ora iso turu asu bajingan ,Bully
['bajingan'],Bully, bajingan ,NoBully
"['bajingan', 'mesti', 'var']",NoBully, bajingan mesti var ,Bully
"['wasite', 'bajingan']",NoBully, wasite bajingan ,Bully
"['bangsat', 'ijo', 'anjing', 'gausah', 'klakson', 'tidak', 'motor', 'belajar', 'anjing', 'tolol', 'bahayain', 'orang', 'anjing', 'rausah', 'ngebut', 'cok', 'berisik', 'knalpot', 'jamet', 'kabupaten', 'polisi', 'tidur', 'segede', 'dah', 'ya', 'alah', 'sih', 'orang', 'orang', 'bego', 'kaya', 'begini', 'dikasih', 'motor']",NoBully, bangsat ijo anjing gausah klakson tidak motor belajar anjing tolol bahayain orang anjing rausah ngebut cok berisik knalpot jamet kabupaten polisi tidur segede dah ya alah sih orang orang bego kaya begini dikasih motor ,Bully
"['bangsat', 'yang', 'open', 'bo', 'mingat', 'gue', 'lihat', 'berita', 'ketutup', 'foto', 'jelek', 'lo', 'anjing', 'jancok']",NoBully, bangsat yang open bo mingat gue lihat berita ketutup foto jelek lo anjing jancok ,Bully
"['dasar', 'bejad']",NoBully, dasar bejad ,Bully
"['maf', 'ka', 'jodohnya', 'disitu', 'gamau', 'himpunan', 'lelaki', 'bejad']",NoBully, maf ka jodohnya disitu gamau himpunan lelaki bejad ,Bully
"['cok', 'bejad', 'arek', 'iki']",NoBully, cok bejad arek iki ,Bully
"['yalah', 'jadwal', 'sidang', 'upn', 'gajelas', 'gue', 'dag', 'dig', 'dug', 'napa', 'gue', 'udah', 'bingung', 'mo', 'ngapain', 'kampus', 'bejad', 'z']",NoBully, yalah jadwal sidang upn gajelas gue dag dig dug napa gue udah bingung mo ngapain kampus bejad z ,Bully
"['gue', 'cape', 'nangisin', 'si', 'dago', 'brengsek']",NoBully, gue cape nangisin si dago brengsek ,Bully
"['wkwkwkwk', 'aran', 'brengsek', 'banget']",NoBully, wkwkwkwk aran brengsek banget ,Bully
"['luaranya', 'laki', 'jiwanya', 'boti', 'brengsek']",NoBully, luaranya laki jiwanya boti brengsek ,Bully
"['wkwkwk', 'brengsek']",Bully, wkwkwk brengsek ,NoBully
"['brengsek', 'lo', 'mncul', 'mentab', 'gue', 'gprnh', 'benernya']",NoBully, brengsek lo mncul mentab gue gprnh benernya ,Bully
['brengsek'],Bully, brengsek ,NoBully
"['argh', 'brengsek']",Bully, argh brengsek ,NoBully
"['emang', 'brengsek']",Bully, emang brengsek ,NoBully
"['argh', 'goblok', 'bngt', 'brengsek']",Bully, argh goblok bngt brengsek ,NoBully
"['wkwkwk', 'brengsek', 'gue', 'ketawa', 'banget']",NoBully, wkwkwk brengsek gue ketawa banget ,Bully
"['orgil', 'anjing', 'gk', 'jlas', 'banget', 'brengsek']",NoBully, orgil anjing gk jlas banget brengsek ,Bully
"['apah', 'pemirsah', 'yak', 'waiji', 'brengsek']",NoBully, apah pemirsah yak waiji brengsek ,Bully
"['bocah', 'jaksel', 'brengsek']",NoBully, bocah jaksel brengsek ,Bully
"['brengsek', 'wkwkwk']",Bully, brengsek wkwkwk ,NoBully
"['anjir', 'gila', 'banget', 'fwek', 'brengsek']",NoBully, anjir gila banget fwek brengsek ,Bully
"['dasar', 'lelaki', 'brengsek', 'cih', 'pakyu', 'loe', 'jay']",NoBully, dasar lelaki brengsek cih pakyu loe jay ,Bully
"['brengsek', 'wkwkwkwk']",Bully, brengsek wkwkwkwk ,NoBully
['brengsek'],Bully, brengsek ,NoBully
"['ni', 'org', 'bily', 'brengsek']",NoBully, ni org bily brengsek ,Bully
"['gege', 'brengsek']",NoBully, gege brengsek ,Bully
"['gue', 'benci', 'banget', 'nungu', 'brengsek']",NoBully, gue benci banget nungu brengsek ,Bully
"['argh', 'bikin', 'budek']",NoBully, argh bikin budek ,Bully
"['otot', 'politik', 'opo', 'anies', 'bukanya', 'sampean', 'yang', 'sl', 'berotot', 'berbirahi', 'politik', 'hnya', 'utk', 'berkuasa', 'dgn', 'menghalalkan', 'utk', 'menang', 'jg', 'pura', 'budek', 'pura', 'tuli', 'pura', 'hah']",NoBully, otot politik opo anies bukanya sampean yang sl berotot berbirahi politik hnya utk berkuasa dgn menghalalkan utk menang jg pura budek pura tuli pura hah ,Bully
"['krna', 'adik', 'yang', 'dipangil', 'budek']",NoBully, krna adik yang dipangil budek ,Bully
"['percaya', 'tidak', 'percaya', 'tapi', 'lo', 'nyuruh', 'gue', 'nanya', 'nama', 'lengkap', 'kating', 'trs', 'gue', 'gamau', 'ngasi', 'tau', 'trs', 'gue', 'ngomong', 'pakai', 'nada', 'lembut', 'mangnya', 'salah', 'gue', 'jg', 'ngomong', 'pakai', 'nada', 'lembut', 'lo', 'budek', 'sok', 'imut', 'post', 'sblmnya', 'gue', 'ditegur', 'krn', 'kagak', 'senyum', 'anjing', 'babilh', 'salah', 'mulu']",NoBully, percaya tidak percaya tapi lo nyuruh gue nanya nama lengkap kating trs gue gamau ngasi tau trs gue ngomong pakai nada lembut mangnya salah gue jg ngomong pakai nada lembut lo budek sok imut post sblmnya gue ditegur krn kagak senyum anjing babilh salah mulu ,Bully
"['temen', 'kamar', 'gue', 'budek', 'gmn', 'seh', 'anjer', 'dah', 'dikasih', 'tau', 'berkaki', 'kaki', 'jan', 'kenceng', 'kenceng', 'trs', 'itu', 'suara']",NoBully, temen kamar gue budek gmn seh anjer dah dikasih tau berkaki kaki jan kenceng kenceng trs itu suara ,Bully
"['mamank', 'elep', 'nya', 'budek', 'anjing', 'diturunin', 'nya', 'mayan']",NoBully, mamank elep nya budek anjing diturunin nya mayan ,Bully
['budek'],NoBully, budek ,Bully
[],NoBully, ,Bully
[],NoBully, ,Bully
[],NoBully, ,Bully
[],NoBully, ,Bully
"['min', 'tidur', 'min', 'udah', 'pagi', 'buta']",NoBully, min tidur min udah pagi buta ,Bully
"['detektif', 'nya', 'gimana', 'si', 'makan', 'gaji', 'buta', 'yuta', 'gue', 'tim', 'nyimak']",NoBully, detektif nya gimana si makan gaji buta yuta gue tim nyimak ,Bully
['buta'],NoBully, buta ,Bully
"['ayo', 'ngerasain', 'gembel', 'ngerasa', 'bebas']",NoBully, ayo ngerasain gembel ngerasa bebas ,Bully
"['bisanya', 'ya', 'lo', 'pas', 'lagi', 'pakai', 'baju', 'kelakuanya', 'tetep', 'gembel']",NoBully, bisanya ya lo pas lagi pakai baju kelakuanya tetep gembel ,Bully
"['wkwkwkwk', 'kasian', 'banget', 'elu', 'gembel']",NoBully, wkwkwkwk kasian banget elu gembel ,Bully
"['gembel', 'banget', 'notgod', 'product', 'dilolosin']",NoBully, gembel banget notgod product dilolosin ,Bully
"['seleranya', 'wel', 'kayak', 'gembel']",NoBully, seleranya wel kayak gembel ,Bully
"['dih', 'sama', 'klub', 'gembel']",NoBully, dih sama klub gembel ,Bully
"['seleranya', 'wel', 'loknya', 'kayak', 'gembel']",NoBully, seleranya wel loknya kayak gembel ,Bully
"['beda', 'server', 'kak', 'dukun', 'pakai', 'server', 'lokal']",NoBully, beda server kak dukun pakai server lokal ,Bully
"['repot', 'hasil', 'ngarang']",NoBully, repot hasil ngarang ,Bully
"['bagus', 'pocong', 'nya', 'alien', 'btw', 'akting', 'iwa', 'k', 'walisdi', 'dukun', 'santet', 'bagus', 'banget', 'minim', 'dialog']",NoBully, bagus pocong nya alien btw akting iwa k walisdi dukun santet bagus banget minim dialog ,Bully
"['wkwkw', 'pocong', 'gundulnya', 'kocak', 'si']",NoBully, wkwkw pocong gundulnya kocak si ,Bully
"['tulangnya', 'twerking']",NoBully, tulangnya twerking ,Bully
"['knp', 'sih', 'klo', 'dukun', 'beneran', 'sakti', 'kog', 'tidak', 'nyantet', 'gubernur', 'jenderal', 'belanda', 'ajabuat', 'ngusir', 'penjajah']",NoBully, knp sih klo dukun beneran sakti kog tidak nyantet gubernur jenderal belanda ajabuat ngusir penjajah ,Bully
"['nama', 'km', 'sean', 'tipis', 'tipis', 'bahasa', 'ingrisnya', 'laut', 'sea']",NoBully, nama km sean tipis tipis bahasa ingrisnya laut sea ,Bully
"['kak', 'tulangnya', 'kak']",NoBully, kak tulangnya kak ,Bully
['geblek'],NoBully, geblek ,Bully
"['seungcheol', 'anak', 'geblek']",NoBully, seungcheol anak geblek ,Bully
['geblek'],NoBully, geblek ,Bully
"['wkwkwk', 'geblek']",NoBully, wkwkwk geblek ,Bully
"['emon', 'redflag', 'banget', 'lo', 'njis', 'kasian', 'anya', 'geblek', 'yuk', 'yuk', 'nya']",NoBully, emon redflag banget lo njis kasian anya geblek yuk yuk nya ,Bully
"['geblek', 'pari']",NoBully, geblek pari ,Bully
['geblek'],NoBully, geblek ,Bully
['geblek'],NoBully, geblek ,Bully
['geblek'],NoBully, geblek ,Bully
['geblek'],NoBully, geblek ,Bully
"['geblek', 'bat', 'ruangan', 'ama', 'nenek', 'lampir']",NoBully, geblek bat ruangan ama nenek lampir ,Bully
['geblek'],NoBully, geblek ,Bully
['geblek'],NoBully, geblek ,Bully
"['wkwkwk', 'geblek']",NoBully, wkwkwk geblek ,Bully
"['geblek', 'kwjakwjskwj']",NoBully, geblek kwjakwjskwj ,Bully
"['akun', 'bot', 'koplak', 'vote', 'dah', 'rampung', 'up', 'geblek']",NoBully, akun bot koplak vote dah rampung up geblek ,Bully
"['si', 'geblek', 'salah', 'nomor', 'kartu', 'emoney', 'top', 'up', 'gue', 'gatau', 'kartu', 'tidak', 'dibarterin', 'kalau', 'tidak', 'kenal']",NoBully, si geblek salah nomor kartu emoney top up gue gatau kartu tidak dibarterin kalau tidak kenal ,Bully
"['geblek', 'hujat']",NoBully, geblek hujat ,Bully
"['yang', 'benar', 'aja', 'berli', 'lo', 'kebangun', 'jam', 'segini', 'emosi', 'doang', 'audit', 'pagi', 'gelo', 'geblek', 'belajar', 'h']",NoBully, yang benar aja berli lo kebangun jam segini emosi doang audit pagi gelo geblek belajar h ,Bully
['geblek'],NoBully, geblek ,Bully
"['si', 'geblek']",Bully, si geblek ,NoBully
['geblek'],NoBully, geblek ,Bully
"['sangyeon', 'gemec', 'gitu', 'apasih', 'jumil', 'apasih', 'goblok', 'geblek', 'the', 'transition', 'tho']",NoBully, sangyeon gemec gitu apasih jumil apasih goblok geblek the transition tho ,Bully
"['dikasik', 'kerjan', 'geblek', 'emah']",NoBully, dikasik kerjan geblek emah ,Bully
['geblek'],NoBully, geblek ,Bully
['geblek'],NoBully, geblek ,Bully
"['si', 'geblek', 'anjing', 't', 't']",NoBully, si geblek anjing t t ,Bully
['geblek'],NoBully, geblek ,Bully
['geblek'],NoBully, geblek ,Bully
['geblek'],NoBully, geblek ,Bully
['geblek'],NoBully, geblek ,Bully
"['heboh', 'penata', 'rambutnya', 'outfitnya', 'elo', 'yang', 'artisnya', 'geblek']",NoBully, heboh penata rambutnya outfitnya elo yang artisnya geblek ,Bully
"['org', 'gila', 'biarin', 'aj', 'nykitin', 'dari', 'sndri', 'kek', 'mati', 'kek']",NoBully, org gila biarin aj nykitin dari sndri kek mati kek ,Bully
"['barca', 'gila']",NoBully, barca gila ,Bully
"['shimkongz', 'beneran', 'udah', 'gila']",NoBully, shimkongz beneran udah gila ,Bully
"['beda', 'level', 'goblok', 'edie', 'ucl', 'onana', 'tidak', 'ucl', 'minimal', 'ucl', 'wkwk', 'mampus', 'enak', 'tidak', 'gituin']",NoBully, beda level goblok edie ucl onana tidak ucl minimal ucl wkwk mampus enak tidak gituin ,Bully
"['woy', 'kunyuk', 'elu', 'senin', 'selasa', 'rabu', 'bahasa', 'dari', 'kalau', 'goblok', 'dipatenin']",NoBully, woy kunyuk elu senin selasa rabu bahasa dari kalau goblok dipatenin ,Bully
"['dkomen', 'yang', 'bilang', 'fans', 'yang', 'sngaja', 'ship', 'jangan', 'goblok', 'fans', 'laki', 'yang', 'ngship', 'dari', 'jaman', 'era', 'who', 'dis', 'dlu', 'd', 'ytube', 'udah', 'dluan', 'jdi', 'fans', 'kpop', 'tapi', 'kalah', 'segi', 'pemikiran', 'dari', 'fans', 'dita', 'yang', 'cm', 'angap', 'hiburan', 'doang', 'alias', 'cocoklogi', 'fiktif', 'blok', 'goblok']",NoBully, dkomen yang bilang fans yang sngaja ship jangan goblok fans laki yang ngship dari jaman era who dis dlu d ytube udah dluan jdi fans kpop tapi kalah segi pemikiran dari fans dita yang cm angap hiburan doang alias cocoklogi fiktif blok goblok ,Bully
"['goblok', 'benar', 'lakinya']",NoBully, goblok benar lakinya ,Bully
"['ngatain', 'pengalaman', 'orang', 'muda', 'lha', 'kuwi', 'jenenge', 'golek', 'pengalaman', 'to', 'blok', 'goblok']",NoBully, ngatain pengalaman orang muda lha kuwi jenenge golek pengalaman to blok goblok ,Bully
"['goblok', 'banget', 'penegakan', 'hukum', 'yang', 'd', 'bantu', 'rakyat', 'bambang', 'noh', 'tangkapin', 'teroris', 'papua']",NoBully, goblok banget penegakan hukum yang d bantu rakyat bambang noh tangkapin teroris papua ,Bully
"['orang', 'goblok', 'gampang', 'kemakan', 'hoax']",NoBully, orang goblok gampang kemakan hoax ,Bully
"['krn', 'goblok', 'pura', 'megawati', 'mg', 'malas', 'kuliah', 'isi', 'pidatonya', 'omong', 'kosong']",NoBully, krn goblok pura megawati mg malas kuliah isi pidatonya omong kosong ,Bully
"['begini', 'manusia', 'goblok', 'sampah', 'sehinga', 'otaknya', 'berisi', 'kotoran', 'pikiranya', 'media', 'berbobot', 'isinya', 'berita', 'berbobot', 'dagelan', 'kebencian']",NoBully, begini manusia goblok sampah sehinga otaknya berisi kotoran pikiranya media berbobot isinya berita berbobot dagelan kebencian ,Bully
"['media', 'goblok', 'sih', 'teriak', 'bubarkan', 'turunkan', 'tidak', 'hasilnya', 'teriak', 'bubarkan', 'pemerintah']",NoBully, media goblok sih teriak bubarkan turunkan tidak hasilnya teriak bubarkan pemerintah ,Bully
"['goblok', 'cepu', 'goblok', 'belajar']",Bully, goblok cepu goblok belajar ,NoBully
